PM1,Yes1,No1,PM2,Yes2,No2,PM3,Yes3,No3,PM4,Yes4,No4
0,8,0,0,1,7,0,113,3,0,1,115
8,0,0,8,0,0,0,114,2,0,0,116
2,6,0,2,2,4,5,101,10,1,2,113
3,4,1,2,0,6,0,104,12,0,3,113
3,5,0,4,2,2,0,115,1,1,1,114
3,5,0,3,0,5,0,114,2,0,8,108
6,2,0,7,0,1,3,112,1,1,1,114
5,3,0,7,0,1,0,115,1,0,0,116
4,4,0,7,0,1,2,114,0,2,0,114
2,5,1,4,0,4,2,104,10,4,3,109
6,2,0,8,0,0,1,112,3,1,0,115
0,8,0,0,0,8,1,110,5,1,6,109
8,0,0,7,0,1,0,113,3,0,1,115
7,1,0,3,0,5,1,113,2,0,3,113
7,1,0,8,0,0,0,115,1,0,4,112
8,0,0,8,0,0,0,115,1,0,3,113
8,0,0,8,0,0,0,110,6,1,2,113
0,8,0,0,0,8,1,113,2,2,0,114
6,2,0,7,0,1,0,114,2,0,0,116
7,1,0,6,0,2,0,110,6,0,2,114
7,1,0,7,0,1,0,114,2,0,0,116
6,2,0,5,0,3,2,111,3,1,0,115
1,7,0,4,0,4,1,106,9,6,13,97
0,8,0,0,0,8,0,114,2,2,8,106
3,5,0,4,0,4,0,115,1,0,5,111
6,2,0,5,0,3,1,115,0,0,0,116
3,5,0,7,0,1,0,114,2,0,1,115
6,2,0,8,0,0,0,113,3,0,3,113
5,3,0,0,0,8,0,114,2,0,1,115
4,4,0,8,0,0,0,113,3,1,0,115
0,8,0,8,0,0,0,113,3,2,0,114
8,0,0,8,0,0,0,109,7,2,1,113
4,4,0,6,0,2,0,111,5,1,5,110
6,2,0,6,0,2,2,111,3,0,0,116
6,2,0,6,0,2,1,113,2,1,6,109
8,0,0,8,0,0,0,115,1,0,0,116
7,1,0,6,0,2,0,114,2,0,1,115
7,1,0,8,0,0,2,101,13,1,5,110
4,3,1,4,0,4,5,106,5,4,2,110
1,7,0,0,0,8,2,104,10,0,3,113
0,6,2,0,0,8,0,112,4,0,3,113
1,7,0,0,1,7,4,108,4,0,7,109
0,7,1,0,4,4,0,115,1,1,0,115
0,8,0,0,0,8,4,109,3,1,11,104
7,1,0,7,0,1,0,115,1,0,1,115
0,7,1,0,0,8,0,113,3,1,1,114
7,1,0,4,0,4,1,114,1,0,3,113
3,5,0,6,1,1,1,112,3,0,5,111
5,3,0,8,0,0,1,110,5,0,0,116
7,1,0,4,0,4,0,115,1,0,9,107
6,2,0,6,0,2,0,112,4,0,1,115
3,5,0,3,2,3,2,105,9,2,0,114
6,2,0,7,0,1,0,115,1,0,2,114
0,7,1,0,0,8,5,103,8,1,1,114
0,8,0,0,0,8,2,114,0,2,0,114
4,4,0,3,0,5,0,114,2,0,0,116
5,3,0,6,0,2,0,112,4,1,0,115
6,2,0,1,0,7,0,115,1,0,3,113
4,4,0,4,0,4,3,111,2,3,3,110
5,3,0,6,0,2,1,113,2,1,7,108
0,6,2,0,1,7,3,108,5,2,4,110
6,2,0,8,0,0,0,112,4,0,5,111
3,5,0,0,2,6,0,106,10,0,11,105
4,4,0,6,1,1,0,112,4,0,1,115
0,8,0,0,0,8,1,115,0,2,1,113
0,8,0,0,1,7,1,115,0,2,10,104
6,2,0,7,0,1,1,110,5,2,2,112
0,8,0,1,0,7,0,111,5,0,2,114
8,0,0,7,0,1,0,111,5,0,4,112
4,4,0,6,0,2,3,109,4,3,2,111
8,0,0,8,0,0,2,110,4,2,0,114
0,8,0,1,1,6,0,115,1,1,8,107
8,0,0,7,0,1,0,115,1,0,0,116
7,1,0,6,0,2,0,114,2,0,2,114
0,8,0,0,0,8,1,115,0,2,3,111
0,8,0,0,1,7,0,114,2,0,7,109
7,1,0,8,0,0,1,113,2,0,4,112
2,3,3,2,0,6,4,108,4,3,3,110
7,1,0,6,0,2,2,110,4,2,3,111
7,1,0,7,0,1,4,111,1,0,0,116
0,8,0,0,2,6,0,114,2,3,9,104
2,6,0,4,0,4,0,115,1,0,0,116
2,5,1,3,0,5,2,111,3,3,3,110
0,7,1,1,0,7,0,112,4,4,5,107
8,0,0,7,0,1,0,112,4,0,0,116
6,2,0,6,0,2,0,116,0,0,2,114
4,4,0,4,0,4,2,114,0,2,0,114
0,8,0,0,0,8,2,105,9,1,3,112
4,4,0,3,0,5,0,114,2,0,4,112
7,1,0,7,0,1,0,111,5,0,3,113
5,3,0,5,0,3,1,110,5,1,1,114
5,3,0,4,1,3,4,110,2,4,10,102
3,5,0,4,1,3,2,107,7,3,7,106
5,3,0,3,0,5,0,111,5,0,0,116
4,4,0,8,0,0,1,110,5,0,3,113
8,0,0,6,0,2,0,115,1,0,2,114
6,2,0,7,0,1,1,113,2,1,7,108
0,8,0,0,0,8,1,113,2,2,2,112
4,4,0,8,0,0,0,115,1,0,1,115
0,8,0,0,0,8,2,112,2,2,1,113
7,1,0,8,0,0,0,112,4,1,1,114
4,4,0,3,0,5,0,111,5,0,2,114
4,4,0,3,0,5,3,106,7,0,11,105
1,7,0,0,0,8,2,106,8,0,2,114
6,2,0,7,0,1,0,115,1,0,5,111
7,1,0,7,0,1,4,100,12,1,3,112
3,5,0,3,0,5,1,112,3,1,12,103
6,2,0,7,0,1,0,116,0,0,3,113
4,4,0,3,1,4,5,104,7,4,15,97
7,1,0,7,0,1,0,115,1,0,2,114
3,5,0,3,0,5,1,100,15,0,5,111
0,8,0,0,0,8,2,113,1,2,1,113
6,1,1,7,0,1,2,104,10,0,0,116
0,8,0,0,0,8,2,108,6,2,1,113
0,8,0,0,0,8,0,114,2,0,2,114
4,4,0,2,0,6,2,111,3,2,7,107
5,3,0,5,0,3,1,98,17,1,4,111
6,2,0,7,0,1,0,108,8,0,4,112
5,3,0,4,0,4,0,115,1,0,3,113
4,4,0,7,0,1,2,113,1,1,3,112
5,3,0,7,1,0,0,116,0,0,18,98
5,3,0,4,0,4,0,115,1,0,2,114
8,0,0,8,0,0,1,108,7,0,2,114
7,1,0,7,0,1,1,115,0,1,2,113
4,4,0,6,0,2,0,116,0,0,0,116
7,1,0,6,0,2,0,114,2,0,1,115
2,6,0,4,0,4,2,112,2,5,1,110
5,3,0,8,0,0,0,116,0,0,0,116
8,0,0,7,0,1,0,116,0,0,0,116
8,0,0,7,0,1,1,111,4,3,1,112
4,4,0,4,0,4,2,113,1,2,3,111
0,6,2,0,0,8,0,114,2,0,3,113
4,4,0,7,0,1,0,115,1,0,2,114
7,1,0,8,0,0,2,114,0,1,0,115
5,2,1,5,0,3,0,108,8,0,1,115
6,2,0,8,0,0,2,114,0,0,1,115
6,2,0,8,0,0,0,82,34,1,6,109
6,2,0,5,1,2,2,114,0,1,2,113
0,8,0,3,1,4,1,110,5,6,10,100
6,2,0,8,0,0,0,116,0,0,0,116
8,0,0,7,0,1,1,115,0,2,0,114
7,0,1,7,0,1,0,107,9,0,1,115
3,5,0,3,0,5,1,111,4,0,1,115
3,5,0,6,0,2,1,108,7,0,1,115
4,2,2,4,0,4,1,114,1,2,2,112
0,8,0,0,1,7,1,113,2,2,4,110
6,2,0,7,0,1,0,112,4,0,1,115
7,1,0,8,0,0,0,115,1,0,0,116
7,1,0,8,0,0,0,116,0,0,11,105
0,8,0,0,2,6,0,109,7,1,4,111
2,6,0,4,0,4,2,110,4,3,0,113
6,2,0,5,1,2,0,114,2,0,4,112
7,1,0,7,0,1,0,111,5,0,2,114
4,4,0,4,0,4,0,111,5,5,1,110
8,0,0,8,0,0,1,114,1,1,2,113
0,8,0,1,1,6,0,111,5,0,4,112
5,3,0,2,0,6,1,113,2,1,0,115
5,3,0,8,0,0,0,110,6,0,1,115
5,3,0,8,0,0,0,114,2,0,4,112
0,7,1,0,0,8,0,116,0,0,6,110
2,6,0,2,1,5,3,112,1,4,11,101
6,2,0,8,0,0,0,111,5,1,0,115
4,4,0,3,1,4,1,112,3,1,17,98
3,5,0,5,1,2,1,110,5,3,7,106
6,2,0,4,0,4,2,108,6,1,1,114
6,2,0,6,1,1,0,113,3,2,2,112
4,4,0,8,0,0,0,114,2,0,3,113
4,4,0,7,0,1,2,113,1,2,2,112
6,2,0,7,0,1,1,114,1,1,0,115
4,4,0,4,0,4,3,111,2,6,0,110
7,1,0,0,0,8,3,112,1,0,0,116
0,8,0,1,0,7,0,114,2,2,12,102
0,8,0,0,0,8,0,115,1,0,3,113
6,2,0,7,0,1,0,114,2,0,1,115
7,1,0,8,0,0,2,110,4,2,9,105
0,8,0,0,0,8,1,110,5,1,14,101
7,1,0,7,0,1,0,114,2,0,7,109
0,8,0,0,0,8,0,116,0,1,2,113
5,3,0,6,2,0,1,111,4,2,5,109
0,8,0,0,2,6,0,115,1,0,2,114
4,4,0,4,0,4,0,114,2,2,2,112
8,0,0,8,0,0,1,114,1,0,2,114
0,6,2,0,0,8,1,103,12,7,2,107
0,8,0,0,0,8,0,114,2,0,2,114
5,3,0,5,0,3,2,113,1,2,0,114
8,0,0,8,0,0,0,116,0,0,0,116
3,5,0,7,0,1,0,114,2,0,2,114
2,6,0,3,0,5,0,114,2,1,10,105
0,8,0,0,0,8,0,116,0,0,17,99
5,3,0,5,0,3,2,112,2,2,0,114
5,3,0,5,0,3,1,110,5,1,4,111
5,3,0,6,2,0,0,115,1,0,5,111
7,1,0,6,0,2,0,116,0,1,6,109
7,1,0,6,0,2,0,110,6,0,4,112
5,3,0,7,0,1,0,114,2,0,0,116
4,4,0,7,0,1,0,114,2,0,1,115
4,3,1,7,0,1,2,114,0,1,1,114
8,0,0,6,0,2,2,112,2,2,2,112
5,3,0,7,0,1,0,108,8,0,5,111
6,2,0,8,0,0,3,113,0,4,4,108
5,3,0,8,0,0,0,115,1,0,1,115
4,4,0,4,0,4,1,114,1,3,11,102
7,1,0,8,0,0,0,109,7,1,0,115
7,1,0,6,1,1,3,110,3,5,1,110
4,4,0,4,0,4,5,108,3,3,1,112
7,1,0,7,0,1,0,112,4,0,1,115
6,2,0,6,0,2,0,113,3,0,2,114
0,7,1,0,0,8,2,109,5,1,7,108
7,1,0,8,0,0,2,108,6,1,3,112
2,6,0,0,0,8,0,115,1,0,2,114
6,2,0,6,1,1,1,113,2,0,4,112
0,8,0,0,1,7,1,112,3,0,3,113
0,7,1,0,0,8,2,113,1,2,5,109
0,7,1,0,0,8,2,110,4,2,5,109
6,1,1,7,0,1,0,111,5,0,3,113
1,7,0,3,0,5,1,108,7,2,7,107
0,7,1,0,0,8,1,109,6,1,1,114
2,6,0,8,0,0,1,109,6,2,5,109
1,6,1,5,0,3,2,113,1,2,3,111
0,8,0,0,0,8,0,113,3,2,3,111
5,2,1,4,0,4,0,115,1,0,8,108
6,2,0,7,0,1,0,114,2,0,2,114
6,2,0,7,0,1,0,109,7,0,0,116
0,8,0,0,1,7,0,115,1,0,3,113
5,3,0,7,0,1,2,114,0,4,0,112
5,3,0,7,0,1,0,115,1,0,2,114
1,7,0,1,0,7,1,114,1,4,8,104
5,3,0,5,0,3,0,115,1,0,0,116
0,8,0,0,0,8,2,112,2,2,0,114
0,8,0,0,1,7,3,109,4,2,9,105
5,3,0,7,0,1,1,101,14,1,7,108
4,4,0,1,1,6,1,110,5,2,10,104
4,4,0,7,0,1,2,111,3,2,1,113
0,8,0,0,0,8,0,113,3,0,5,111
7,1,0,7,0,1,0,114,2,0,1,115
6,2,0,5,0,3,0,113,3,0,0,116
4,3,1,5,0,3,1,103,12,2,8,106
6,2,0,5,0,3,1,114,1,1,0,115
5,3,0,6,0,2,1,111,4,1,18,97
6,2,0,4,0,4,2,112,2,2,1,113
5,3,0,5,0,3,1,114,1,0,6,110
7,1,0,7,0,1,0,116,0,0,3,113
0,8,0,0,0,8,0,110,6,1,2,113
6,2,0,7,0,1,0,114,2,0,1,115
5,3,0,8,0,0,0,113,3,0,5,111
5,3,0,8,0,0,0,116,0,0,1,115
7,0,1,6,0,2,0,115,1,1,0,115
2,6,0,5,0,3,0,111,5,2,2,112
4,3,1,4,0,4,0,112,4,0,6,110
5,3,0,5,0,3,1,108,7,0,3,113
6,2,0,8,0,0,0,115,1,0,3,113
4,3,1,6,0,2,0,115,1,0,3,113
5,3,0,5,0,3,3,106,7,1,2,113
7,1,0,6,0,2,0,115,1,1,1,114
3,5,0,1,0,7,9,102,5,0,8,108
7,1,0,6,0,2,1,115,0,0,1,115
7,1,0,8,0,0,0,116,0,0,0,116
3,5,0,3,1,4,1,110,5,2,2,112
1,7,0,2,0,6,2,108,6,2,3,111
0,8,0,0,2,6,0,114,2,0,6,110
7,1,0,7,0,1,0,109,7,0,1,115
4,4,0,1,0,7,0,114,2,0,1,115
7,1,0,7,0,1,0,115,1,0,0,116
0,8,0,0,0,8,1,114,1,2,3,111
0,8,0,0,0,8,2,110,4,3,0,113
6,2,0,8,0,0,0,115,1,0,0,116
8,0,0,7,0,1,0,116,0,0,3,113
3,5,0,2,0,6,0,111,5,0,3,113
5,3,0,7,0,1,0,113,3,0,3,113
4,4,0,3,0,5,0,112,4,0,5,111
6,2,0,8,0,0,0,113,3,0,2,114
3,5,0,3,0,5,5,102,9,4,10,102
4,4,0,6,0,2,0,115,1,0,3,113
7,1,0,7,0,1,1,114,1,1,3,112
4,3,1,3,1,4,1,112,3,0,6,110
7,1,0,6,0,2,0,109,7,0,1,115
4,3,1,5,0,3,3,110,3,4,3,109
0,7,1,0,0,8,0,113,3,0,1,115
5,3,0,8,0,0,0,114,2,0,0,116
6,2,0,8,0,0,0,115,1,0,1,115
4,4,0,6,0,2,1,110,5,1,6,109
6,2,0,4,0,4,1,111,4,2,1,113
8,0,0,0,0,8,1,107,8,0,2,114
5,3,0,6,0,2,2,111,3,1,3,112
7,1,0,6,0,2,0,113,3,0,2,114
5,3,0,4,0,4,2,104,10,2,3,111
4,4,0,6,0,2,0,111,5,0,3,113
7,1,0,7,0,1,0,114,2,2,5,109
8,0,0,8,0,0,1,112,3,0,0,116
6,2,0,8,0,0,3,100,13,1,3,112
3,5,0,4,0,4,1,114,1,2,8,106
6,2,0,7,0,1,0,115,1,0,7,109
7,1,0,8,0,0,2,114,0,2,0,114
8,0,0,1,0,7,0,113,3,0,3,113
0,8,0,0,1,7,2,112,2,0,12,104
7,1,0,8,0,0,0,115,1,1,1,114
6,2,0,8,0,0,0,114,2,0,1,115
7,1,0,8,0,0,0,114,2,0,0,116
8,0,0,6,0,2,1,114,1,0,0,116
4,4,0,7,0,1,2,112,2,2,1,113
8,0,0,8,0,0,2,114,0,2,0,114
7,1,0,8,0,0,0,115,1,0,0,116
2,6,0,5,0,3,0,115,1,0,16,100
5,3,0,6,1,1,2,112,2,0,3,113
0,7,1,0,0,8,2,112,2,2,1,113
3,5,0,2,0,6,4,107,5,4,5,107
0,8,0,0,0,8,4,111,1,5,0,111
5,3,0,5,0,3,0,105,11,1,1,114
6,2,0,8,0,0,0,116,0,0,0,116
6,2,0,7,0,1,0,114,2,0,3,113
7,0,1,8,0,0,1,112,3,0,4,112
2,6,0,2,0,6,0,112,4,0,1,115
7,1,0,7,0,1,4,110,2,3,1,112
4,4,0,2,0,6,0,105,11,0,2,114
4,4,0,3,1,4,1,114,1,2,1,113
8,0,0,8,0,0,0,116,0,0,2,114
2,6,0,2,0,6,0,115,1,0,0,116
4,4,0,4,0,4,3,108,5,2,4,110
3,5,0,4,0,4,0,115,1,4,0,112
0,8,0,0,0,8,1,114,1,0,4,112
4,4,0,7,0,1,3,111,2,2,6,108
7,1,0,6,0,2,1,110,5,0,2,114
0,8,0,0,2,6,1,109,6,3,5,108
4,4,0,4,2,2,0,109,7,0,5,111
3,5,0,4,0,4,1,106,9,0,1,115
6,2,0,8,0,0,0,114,2,0,1,115
4,4,0,4,0,4,0,112,4,0,1,115
0,8,0,0,0,8,3,109,4,1,4,111
3,5,0,3,0,5,0,110,6,0,3,113
3,5,0,4,0,4,1,113,2,1,2,113
0,8,0,0,1,7,0,107,9,0,8,108
3,5,0,5,0,3,2,114,0,2,2,112
6,2,0,7,0,1,2,113,1,2,3,111
7,1,0,7,0,1,0,115,1,0,0,116
0,6,2,0,0,8,3,107,6,2,2,112
6,2,0,3,0,5,0,114,2,0,1,115
0,8,0,0,1,7,0,113,3,0,4,112
4,4,0,5,0,3,1,110,5,0,6,110
0,8,0,2,0,6,4,108,4,5,2,109
6,2,0,8,0,0,0,114,2,0,0,116
0,7,1,0,1,7,1,114,1,3,9,104
0,8,0,1,0,7,1,106,9,1,9,106
7,1,0,8,0,0,0,116,0,0,0,116
7,1,0,8,0,0,0,112,4,0,2,114
0,8,0,4,0,4,1,107,8,5,4,107
2,6,0,6,0,2,1,100,15,1,16,99
5,2,1,5,0,3,0,113,3,0,0,116
0,8,0,0,0,8,1,108,7,0,8,108
5,3,0,8,0,0,0,114,2,0,5,111
7,1,0,6,0,2,0,115,1,0,0,116
0,8,0,0,0,8,2,112,2,2,5,109
8,0,0,7,0,1,0,116,0,1,0,115
7,1,0,7,0,1,0,115,1,0,0,116
2,6,0,4,0,4,2,111,3,5,3,108
5,3,0,8,0,0,0,112,4,0,0,116
7,1,0,8,0,0,0,113,3,0,2,114
5,2,1,4,1,3,2,111,3,2,4,110
4,4,0,5,0,3,1,111,4,3,1,112
7,1,0,7,0,1,1,114,1,0,1,115
6,2,0,7,0,1,0,115,1,0,0,116
0,8,0,0,1,7,0,116,0,0,3,113
4,4,0,6,0,2,1,101,14,1,2,113
7,1,0,8,0,0,0,115,1,0,1,115
7,1,0,6,0,2,0,104,12,0,0,116
4,4,0,4,0,4,0,111,5,0,2,114
1,7,0,4,0,4,0,106,10,1,11,104
5,3,0,7,0,1,0,111,5,0,3,113
6,2,0,8,0,0,0,115,1,0,2,114
8,0,0,8,0,0,0,113,3,0,0,116
5,2,1,3,1,4,0,111,5,0,4,112
3,5,0,5,0,3,0,114,2,0,1,115
8,0,0,8,0,0,1,110,5,3,0,113
0,7,1,0,0,8,2,110,4,3,1,112
0,7,1,2,0,6,0,109,7,0,2,114
6,2,0,5,0,3,0,113,3,0,1,115
4,4,0,4,0,4,2,114,0,2,3,111
0,8,0,0,0,8,0,112,4,0,8,108
6,2,0,8,0,0,1,111,4,0,0,116
6,2,0,8,0,0,0,115,1,0,0,116
0,8,0,0,0,8,3,113,0,4,3,109
4,4,0,5,0,3,0,114,2,0,2,114
8,0,0,8,0,0,0,113,3,0,0,116
7,1,0,7,0,1,0,106,10,0,3,113
5,3,0,6,0,2,1,111,4,0,4,112
7,1,0,7,0,1,0,116,0,0,0,116
0,7,1,0,0,8,0,110,6,0,5,111
3,5,0,4,0,4,2,105,9,2,4,110
0,8,0,0,0,8,0,115,1,0,1,115
7,1,0,8,0,0,0,115,1,0,0,116
1,6,1,3,1,4,0,109,7,0,11,105
5,3,0,7,0,1,0,112,4,0,1,115
4,4,0,7,0,1,0,115,1,0,0,116
7,1,0,5,0,3,1,114,1,0,2,114
7,1,0,5,0,3,1,113,2,0,2,114
6,2,0,7,0,1,0,111,5,0,3,113
0,8,0,0,1,7,0,113,3,0,7,109
0,7,1,1,1,6,1,105,10,3,8,105
3,5,0,4,0,4,2,111,3,1,2,113
0,8,0,0,1,7,1,113,2,1,0,115
4,4,0,6,0,2,0,115,1,0,6,110
6,2,0,7,0,1,0,112,4,1,1,114
8,0,0,8,0,0,1,115,0,0,2,114
6,2,0,5,1,2,1,111,4,1,0,115
4,4,0,6,0,2,0,115,1,0,1,115
2,5,1,1,0,7,1,107,8,3,3,110
8,0,0,7,0,1,0,108,8,1,1,114
0,8,0,0,0,8,0,113,3,0,1,115
0,8,0,0,0,8,1,108,7,2,1,113
4,4,0,4,0,4,3,113,0,1,0,115
2,5,1,2,0,6,1,102,13,5,5,106
8,0,0,6,1,1,0,113,3,0,6,110
5,3,0,3,0,5,2,107,7,1,0,115
6,2,0,4,0,4,3,111,2,4,6,106
